WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE
2022-12-10,Eastern Africa,Kenya,Baringo,Riots,Mob violence,1,0,782.0,Political violence,1535.0,0.7197,36.0185
2023-01-28,Eastern Africa,Kenya,Baringo,Riots,Mob violence,1,0,2203.0,Political violence,1535.0,0.7197,36.0185
2023-03-25,Eastern Africa,Kenya,Baringo,Riots,Mob violence,1,1,2049.0,Political violence,1535.0,0.7197,36.0185
2023-08-12,Eastern Africa,Kenya,Baringo,Riots,Mob violence,1,0,4288.0,Political violence,1535.0,0.7197,36.0185
2023-08-19,Eastern Africa,Kenya,Baringo,Riots,Mob violence,1,0,14735.0,Political violence,1535.0,0.7197,36.0185
2024-03-23,Eastern Africa,Kenya,Baringo,Riots,Mob violence,1,1,1026.0,Political violence,1535.0,0.7197,36.0185
2024-03-30,Eastern Africa,Kenya,Baringo,Riots,Mob violence,2,0,13703.0,Political violence,1535.0,0.7197,36.0185
2024-06-01,Eastern Africa,Kenya,Baringo,Riots,Mob violence,2,2,2870.0,Political violence,1535.0,0.7197,36.0185
2024-07-13,Eastern Africa,Kenya,Baringo,Riots,Mob violence,1,0,11975.0,Political violence,1535.0,0.7197,36.0185
2024-09-21,Eastern Africa,Kenya,Baringo,Riots,Mob violence,1,0,14735.0,Political violence,1535.0,0.7197,36.0185
2025-02-08,Eastern Africa,Kenya,Baringo,Riots,Mob violence,1,0,713.0,Political violence,1535.0,0.7197,36.0185
2025-03-08,Eastern Africa,Kenya,Baringo,Riots,Mob violence,1,0,4288.0,Political violence,1535.0,0.7197,36.0185
2025-04-26,Eastern Africa,Kenya,Baringo,Riots,Mob violence,1,1,6145.0,Political violence,1535.0,0.7197,36.0185
2014-02-08,Eastern Africa,Kenya,Baringo,Riots,Violent demonstration,1,0,,Demonstrations,1535.0,0.7197,36.0185
2017-05-13,Eastern Africa,Kenya,Baringo,Riots,Violent demonstration,1,0,,Demonstrations,1535.0,0.7197,36.0185
2017-07-08,Eastern Africa,Kenya,Baringo,Riots,Violent demonstration,1,0,,Demonstrations,1535.0,0.7197,36.0185
2019-04-27,Eastern Africa,Kenya,Baringo,Riots,Violent demonstration,1,0,,Demonstrations,1535.0,0.7197,36.0185
2019-06-15,Eastern Africa,Kenya,Baringo,Riots,Violent demonstration,1,0,,Demonstrations,1535.0,0.7197,36.0185
2020-03-07,Eastern Africa,Kenya,Baringo,Riots,Violent demonstration,1,0,11673.0,Demonstrations,1535.0,0.7197,36.0185
2021-10-30,Eastern Africa,Kenya,Baringo,Riots,Violent demonstration,1,0,11520.0,Demonstrations,1535.0,0.7197,36.0185
2021-11-20,Eastern Africa,Kenya,Baringo,Riots,Violent demonstration,1,0,14175.0,Demonstrations,1535.0,0.7197,36.0185
2022-02-05,Eastern Africa,Kenya,Baringo,Riots,Violent demonstration,2,0,4905.0,Demonstrations,1535.0,0.7197,36.0185
2022-10-01,Eastern Africa,Kenya,Baringo,Riots,Violent demonstration,1,0,1297.0,Demonstrations,1535.0,0.7197,36.0185
2022-10-22,Eastern Africa,Kenya,Baringo,Riots,Violent demonstration,1,0,2161.0,Demonstrations,1535.0,0.7197,36.0185
2023-03-18,Eastern Africa,Kenya,Baringo,Riots,Violent demonstration,1,0,4288.0,Demonstrations,1535.0,0.7197,36.0185
2023-06-03,Eastern Africa,Kenya,Baringo,Riots,Violent demonstration,1,0,4056.0,Demonstrations,1535.0,0.7197,36.0185
2023-10-07,Eastern Africa,Kenya,Baringo,Riots,Violent demonstration,1,0,4288.0,Demonstrations,1535.0,0.7197,36.0185
2024-03-23,Eastern Africa,Kenya,Baringo,Riots,Violent demonstration,1,0,2203.0,Demonstrations,1535.0,0.7197,36.0185
